word,meaning,translation,root,type,process meaning,normalized form
nipoonán,an amount sufficient only to equal the capital invested,amount sufficient,nipoonán,-,-,nipoonan
póot,rebuke; feel contrite,rebuke,póot,-,-,poot
1pópo,cut down trees,cut down trees,1pópo,-,-,1popo
2pópo,gold or silver dust or fragments,gold or,2pópo,-,-,2popo
popót,dried rind or peel,dried rind,popót,-,-,popot
púrak,"erase, obliterate; totally gone",erase,púrak,-,-,purak
pórek,to insist,insist,pórek,-,-,porek
púri,"honor, fame",honor,púri,-,-,puri
púro,"pure, ‘one hundred percent’",pure,púro,-,-,puro
poróñgo,"wide-mouthed bottle, glass jar",wide-mouthed bottle,poróñgo,-,-,porongo
pusá,cat,cat,pusá,-,-,pusa
pusít,squid,squid,pusít,-,-,pusit
póslit,smuggling; obtain without permission; escape,smuggling,póslit,-,-,poslit
póso,heart,heart,póso,-,-,poso
sinampúso,heart shaped,heart shaped,sampúso,infix,completed aspect marker,sinampuso
posó,heart of a banana fruit,heart a,posó,-,-,poso
pusóñg,to flirt (man -),flirt,pusóñg,-,-,pusong
pospós,"end, finish, termination",end,pospós,-,-,pospos
pústa,"bet, wager; to bet (on -)",bet,pús,suffix,1du inclusive genitive enclitic,pusta
1puták,the frisking of fishes in water; bubbling of liquids,frisking fishes,1puták,-,-,1putak
2puták,tender young leaves of cashew tree,tender young,2puták,-,-,2putak
potér,"to cut with any sharp instrument (maN -, man-)",cut any,potér,-,-,poter
putí,"fairness, beauty",fairness,putí,-,-,puti
amputí,"white, fair, light colored",white,putí,nasal_prefix,"actor focus (nasal-assimilating, completed)",amputi
potík,to decorate cloth etc. with braided threads,decorate cloth,potík,-,-,potik
potiókan,bee,bee,potiók,suffix,locative/referent focus (non-completed),potiokan
póto,cake made from rice flour,cake made,pó,suffix,3sg genitive enclitic,poto
potók,(of fish) splashing about in the water,splashing the,potók,-,-,potok
potót,to cut with a knife (man -),cut a,potót,-,-,potot
potpót,to fall (on -),fall,potpót,-,-,potpot
púyat,be sleepless (man -),sleepless,púyat,-,-,puyat
puyók,to rub gently,rub gently,puyók,-,-,puyok
prÉsidÉntE,president; be president (man -),president,prÉsidÉntE,-,-,presidente
prÉcio,price,price,prÉcio,-,-,precio
privádo,private,private,privádo,-,-,privado
primaría,"primary, elementary (school, grade, etc.)",primary,primaría,-,-,primaria
"primÉra (f.), primÉro (m.)",first,first,"primÉra (f.), primÉro (m.)",-,-,"primera (f.), primero (m.)"
princÉsa,princess,princess,prcÉsa,infix,completed aspect marker,princesa
prínsipi,prince,prince,prínsipi,-,-,prinsipi
prisínta,to present oneself (man -),present oneself,prisín,suffix,1du inclusive genitive enclitic,prisinta
fríto,to fry (man -),fry,frí,suffix,3sg genitive enclitic,frito
prodúctos,"agricultural produce, products",agricultural produce,prodúctos,-,-,productos
prográma,"program, concert",program,prográma,-,-,programa
promEtÉ,"promise, wish, favor sought; to ask a favor (esp. from God) (man -)",promise,promEtÉ,-,-,promete
prosEsión,(usu. religious) procession,procession,prosEsión,-,-,prosesion
prútas,fruit,fruit,prútas,-,-,prutas
ProtEstántE,Protestant; be a member of a Protestant church (man-),protestant,ProtEstántE,-,-,protestante
Protantísmo,Protestantism,protestantism,Protantís,suffix,2sg genitive enclitic,protantismo
ra,see da,see da,ra,-,-,ra
rádio,radio,radio,rádio,-,-,radio
razón,"reason, logical argument, cause; to reason out (man -)",reason,razón,-,-,razon
rEbÉldE,rebel; to rebel (man -),rebel,rEbÉldE,-,-,rebelde
rEvolúcion,revolution; to revolt (man -),revolution,rEvolúcion,-,-,revolucion
rEgálo,present,present,rEgálo,-,-,regalo
rElación,relationship rEllÉno /rElyÉno/dish featuring stuffed chicken or fish,relationship relléno,rElación,-,-,relacion
rEmÉdio,"remedy, cure; to remedy (man -)",remedy,rEmÉdio,-,-,remedio
rEfinádo,refined (esp. refined sugar) rEpóllo /rEpólyo/cabbage,refined repóllo,rEfádo,infix,completed aspect marker,refinado
rEstáuran,restaurant,restaurant,rEstáur,suffix,locative/referent focus (non-completed),restauran
rEtráto,"photo, picture; to photograph (manpa -)",photo,rEtrá,suffix,3sg genitive enclitic,retrato
rÉyna,queen (esp. queen presiding over fiesta etc.); to be queen (man -),queen,rÉyna,-,-,reyna
ribál,rival,rival,ribál,-,-,ribal
karibál,(one) rival (in relation to another); to be,rival,karibál,-,-,karibal
rivals,(man -),(man -),rivals,-,-,rivals
ruída,cockpit (where roosters fight); ferris wheel,cockpit,ruí,suffix,3pl genitive enclitic,ruida
rosário,rosary; recite the rosary (man -),rosary,rosário,-,-,rosario
rósas,"flower, blossom 97",flower,rósas,-,-,rosas
sabá,a variety of cooking banana with large squarish fruits,variety cooking,sabá,-,-,saba
sábado,Saturday,saturday,sábado,-,-,sabado
sabáñg,grains that get between bottom of pot,grains that,sabáñg,-,-,sabang
sabáy,to perspire profusely,perspire profusely,sabáy,-,-,sabay
sabí,to arrive (on -); to bring back (mañgi -),arrive,sabí,-,-,sabi
1sabít,"thorn, spine, fish bone",thorn,1sabít,-,-,1sabit
2sabít,"to hang clothes etc. on a peg (man -, i-)",hang clothes,2sabít,-,-,2sabit
sabláy,beating; to beat (man -),beating,sabláy,-,-,sablay
sáblE,saber,saber,sáblE,-,-,sable
sabó,the overflow from boiling liquid,overflow boiling,sabó,-,-,sabo
sabóg,Italian millet,italian millet,sabóg,-,-,sabog
saból,"fountain, spring (of water)",fountain,saból,-,-,sabol
sabón,soap,soap,sabón,-,-,sabon
sabóñg,immature fruit,immature fruit,sabóñg,-,-,sabong
sabóy,to unravel (-en ),unravel,sabóy,-,-,saboy
sábsab,"(of pigs) to eat, (of people) to eat like a pig, slurping food with smacking lips (man -)",to eat,sábsab,-,-,sabsab
sadsád,to run aground (on -),run aground,sadsád,-,-,sadsad
sáew,"to miss, be absent (on -)",miss,sáew,-,-,saew
sagána,to make preparations for entertaining (man -),preparations for entertaining,sagána,-,-,sagana
sagáp,to catch fish with a net or cloth placed under water,catch fish,sagáp,-,-,sagap
sagár,harrow; to plow the ground finely with aid of carabao,harrow,sagár,-,-,sagar
sagáysay,comb,comb,sagáysay,-,-,sagaysay
saginónor,continuous; be continuous (on -),continuous,sagónor,infix,completed aspect marker,saginonor
saglawí,"to mention, confide",mention,saglawí,-,-,saglawi
1sagó,a fine comb,fine comb,1sagó,-,-,1sago
2sagó,a herbaceous plant the roots of which are cooked and eaten,herbaceous plant,2sagó,-,-,2sago
1sagór,"hook; to hitch, hook (i -)",hook,1sagór,-,-,1sagor
2sagór,west,west,2sagór,-,-,2sagor
ságot,"to intrude, meddle",intrude,ságot,-,-,sagot
ságotságot,to annoy (man -),annoy,ságot,reduplication,full reduplication (intensifier/frequentative),sagotsagot
sagrádo,"holy, blessed, sacred",holy,sagrádo,-,-,sagrado
sagság,to puncture (man -),puncture,sagság,-,-,sagsag
ságwat,"accomplice, partner in an undertaking",accomplice,ságwat,-,-,sagwat
saíñg,to join two objects end to end,join two,saíñg,-,-,saing
saís,six,six,saís,-,-,sais
saísenta,sixty,sixty,saís,suffix,1du inclusive genitive enclitic,saisenta
1saít,discuss something among several persons (man -),discuss something,1saít,-,-,1sait
2saít,"to sharpen on a stone etc., whet",sharpen a,2saít,-,-,2sait
1saká,to strain starch etc. through cloth,strain starch,1saká,-,-,1saka
2saká,(to a cat) scat!,scat,2saká,-,-,2saka
sakál,"copy, transcribe",copy,sakál,-,-,sakal
sakát,"to wade in mud, water, etc.",wade in mud,sakát,-,-,sakat
sakáy,to navigate (man -),navigate,sakáy,-,-,sakay
sakayán,"ship, vessel",ship,sakayán,-,-,sakayan
sakbát,to carry on the shoulder (man -),carry the,sakbát,-,-,sakbat
sakbáy,"be early, go early",early,sakbáy,-,-,sakbay
masakbáy,early,early,sakbáy,prefix,causative / stative,masakbay
kasakbáy,before,before,kasakbáy,-,-,kasakbay
1sakém,to clasp (man-),clasp,1sakém,-,-,1sakem
2sakém,sákop,conquer,2sakém,-,-,2sakem
sakéy,one,one,sakéy,-,-,sakey
ikalabinsakéy,eleventh,eleventh,kalabsakéy,prefix,theme/goal or benefactive focus (non-completed),ikalabinsakey
komalabinsakéy,eleventh in order,eleventh in order,komalabsakéy,infix,completed aspect marker,komalabinsakey
labínsakéy,eleven,eleven,labínsakéy,-,-,labinsakey
maminlabínsakéy,eleven times,eleven times,nlabínsakéy,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maminlabinsakey
sakéysakéy,one by one,one by one,sakéy,reduplication,full reduplication (intensifier/frequentative),sakeysakey
saksakéy,only one,only one,sakéy,reduplication,partial reduplication (plural nouns),saksakey
sansasakéy,one each,one each,sansasakéy,-,-,sansasakey
sakít,"ache, disease, pain, sickness, hurt;become painful (on-); to hurt (-an)",ache,sakít,-,-,sakit
ansakkét,"sticky rice, an especially glutinous variety of rice used especially in rice cakes etc.",sticky rice,sakkét,nasal_prefix,"actor focus (nasal-assimilating, completed)",ansakket
1sakláñg,"to dine, serve food in a gathering, set the table for a guest, offer guest food (man-)",dine,1sakláñg,-,-,1saklang
2sakláñg,to ride a horse astride,ride a,2sakláñg,-,-,2saklang
sakláy,"to carry a child astride one’s neck, or in a hammock",carry a,sakláy,-,-,saklay
saklór,horn of animal,horn of animal,saklór,-,-,saklor
sakmál,to dissemble,dissemble,sakmál,-,-,sakmal
sáko,"bag, sack",bag,sá,suffix,1sg genitive enclitic,sako
sakób,"cover, lid; to cover (-an )",cover,sakób,-,-,sakob
sákop,"territory, jurisdiction; to absorb, acquire (-en)",territory,sákop,-,-,sakop
asákop,"known, understood, within one’s comprehension",known,asákop,-,-,asakop
saksák,to stab with any pointed object 1sáladefect; difficulty in selling,stab any,saksák,-,-,saksak
1sála,"defect; difficulty in selling merchandise because of reluctant buyers; to miss a target, to be faulty (esp. of speech), be denied or unrealized (wish, petition, etc.) (on-)",defect,1sála,-,-,1sala
2sála,living room,living room,2sála,-,-,2sala
1salá,put smaller pieces of bamboo or other kinds of paling to fill up gaps between main posts in a fence,put smaller,1salá,-,-,1sala
2salá,dirt at the edge of the bowl,dirt the,2salá,-,-,2sala
salabát,to interrupt someone’s speech,interrupt someone’s speech,salabát,-,-,salabat
saláda,salad,salad,salá,suffix,3pl genitive enclitic,salada
saláksak,"a bird with red breast and green feathers, sometimes considered a bird of ill omen",bird red,saláksak,-,-,salaksak
salámat,thanks; to thank (man -),thanks,salámat,-,-,salamat
salambáw,a specially constructed large fishing net,specially constructed,salambáw,-,-,salambaw
salañgát,"to answer; interrupt, intrude into, or join a conversation",answer,salañgát,-,-,salangat
salañgsáñg,an object made of glass or other easily shattered material,object made,salañgsáñg,-,-,salangsang
shattered,material,material,shattered,-,-,shattered
saláp,the entire leg,entire leg,saláp,-,-,salap
salapí,"fifty centavos, fifty centavo piece",fifty centavos,salapí,-,-,salapi
salapsáp,to carve or split off pieces of wood,carve or,salapsáp,-,-,salapsap
salása,crossbeam supporting the floor,crossbeam,salása,-,-,salasa
salát,to change one thing for another (i -); to change clothes (aman-),,salát,-,-,salat
onsalát,next,next,salát,nasal_prefix,actor focus (nasal-assimilating variant),onsalat
saláy,failure; to miss the mark (on -),change,saláy,-,-,salay
saláysay,"to examine, investigate (man -)",examine,saláysay,-,-,salaysay
salét,to put between,insert,salét,-,-,salet
salétsalét,to intersperse,scatter,salét,reduplication,full reduplication (intensifier/frequentative),saletsalet
salgér,to slit (man -),slit (man -),salgér,-,-,salger
sáli,"to attempt, try something (man -)",attempt,sáli,-,-,sali
salián na sapátos,shoe horn,shoe horn,salián na sapátos,-,-,salian na sapatos
salí,"foot, leg",foot,salí,-,-,sali
salígsig,split bamboo or timber,split bamboo or timber,salígsig,-,-,saligsig
salíksik,"roughness of timber, unplaned surface",roughness timber,salíksik,-,-,saliksik
salín,occupy one’s place against another’s will,occupy one’s place against another’s will,salín,-,-,salin
saliñgsíñg,to prune the new shoots from a tree,prune,saliñgsíñg,-,-,salingsing
salípotpót,"enough; to be enough, completed to one’s satisfaction (on -)",enough,salípotpót,-,-,salipotpot
salíta,"language, dialect, word, utterance; to talk, speak (man -)","language, word, talk",salí,suffix,1du inclusive genitive enclitic,salita
pananalíta,way of speaking,"
speech",alí,nasal_prefix,causative/instrumental nasal-assimilating,pananalita
sásalítaen,"topic, subject",topic,sásalí,suffix,patient focus (non-completed),sasalitaen
salíw,to buy (maN -),buy,salíw,-,-,saliw
sálmar,"be gloomy (man -), become gloomy (on-)",dispirited,sálmar,-,-,salmar
salmíng,"glass, mirror, crystal; to see oneself in a mirror (man-)",glass,salmíng,-,-,salming
1saló,term of address used by a superior to an inferior,term address used by a superior to an inferior,1saló,-,-,1salo
2saló,"then, it seems",then,2saló,-,-,2salo
salóbay,to mend (man -),mend,salóbay,-,-,salobay
salóg,to water (plants etc.) (man -),water,salóg,-,-,salog
salók,to loop the loop salokśók to skewer meat; insert stick etc. into chink or crack,"skewer, poke",salók,-,-,salok
salomági,tamarind (tree or fruit),tamarind,salomági,-,-,salomagi
salónson,to pile in line (man -),to line up,salónson,-,-,salonson
salóñg,team going somewhere to play; to go to another place for any definite purpose,team going somewhere to play,salóñg,-,-,salong
salóñgsoñg,resistance (by one group of another),resistance,salóñgsoñg,-,-,salongsong
salóp,a ganta (three liters dry measure),salop,salóp,-,-,salop
sálot,"pestilence, epidemic",pestilence,sálot,-,-,salot
salsál,"feel the depth of water with the feet, test one's opinion",feel depth water with feet,salsál,-,-,salsal
samák,partner in a business venture,partner in a business venture,samák,-,-,samak
kasamák,tenant,tenant,kasamák,-,-,kasamak
samál,poison; to poison (man -),poison,samál,-,-,samal
sáman,that (yonder or distant from interlocutors) (pl. saráman ) those,that   sarÃ¡man ) those,sám,suffix,locative/referent focus (non-completed),saman
samár,"call in for, drop in for a while (on -)",call in for,samár,-,-,samar
sámat,meandering of a river,meandering a river,sámat,-,-,samat
sámay,the (remote from interlocutors) (pl. sarámay ),sarÃ¡may ),sámay,-,-,samay
sambá,"oath, pledge, curse; to take an oath (man -); condemn, curse (-an )",oath,sambá,-,-,samba
sambót,"to be on time, take advantage of an opportunity to do something (man-)",be on time,sambót,-,-,sambot
samít,sweetness; become sweet (on -),sweetness,samít,-,-,samit
masamít,"sweet, palatable, agreeable; sugar",sweet,samít,prefix,causative / stative,masamit
samuét,occasionally but regularly,occasionally but regularly,samuét,-,-,samuet
samót,"wanderer, poor man who eats from house to house",wanderer,samót,-,-,samot
1sampót,pole,pole,1sampót,-,-,1sampot
2sampót,end; to end (man-),end,2sampót,-,-,2sampot
kasampotán,the end (e.g. of a story),end,kasampotán,-,-,kasampotan
samsám,"to seize, appropriate another’s property, snatch from another’s hands (man -); to abduct (maN-)",seize,samsám,-,-,samsam
sananéy,"different, another; be varied (man -)",different,sananéy,-,-,sananey
sanantónio,brown,brown,sanantónio,-,-,sanantonio
sanáy,"expert, skilled; practice, exercise",expert,sanáy,-,-,sanay
sanáysay,"proverb, saying",proverb,sanáysay,-,-,sanaysay
sanéb,ambush; discreet,ambush,sanéb,-,-,saneb
sanén,"on (past time), last (in reference to day",on,sanén,-,-,sanen
saníb,screen or similar contrivance for block light or wind,screen or similar contrivance for block light or wind,saníb,-,-,sanib
sanó,"when, on (future time)",when,sanó,-,-,sano
santíñg,pleasing aspect,pleasing aspect,santíñg,-,-,santing
masantíñg,"nice, pleasant",nice,santíñg,prefix,causative / stative,masanting
sánto,saint; be holy,saint,sán,suffix,3sg genitive enclitic,santo
asantoán a,Christian name,christian name,asantoán a,-,-,asantoan a
ngarán,name,name,ngarán,-,-,ngaran
masantós,"blessed, good (in sense of ‘good afternoon’ etc.)",blessed,santós,prefix,causative / stative,masantos
sáñga,carpenter’s square,carpenterâ€™s square,sáñga,-,-,sanga
sañgá,"branch of tree, stalk of plant, stem; to grow branches (on-)",branch tree,sañgá,-,-,sanga
sañgál,"to weave two twines, cords, etc. together",weave two twines,sañgál,-,-,sangal
sañgát,to ascend steps or any slight elevation (on-),ascend steps or any slight elevation (on-),sañgát,-,-,sangat
sañggá,to parry a blow,parry a blow,sañggá,-,-,sangga
sañgí,mouth,mouth,sañgí,-,-,sangi
sañgkáp,dust pan,dust pan,sañgkáp,-,-,sangkap
sañgláy,Chinese,chinese,sañgláy,-,-,sanglay
sañgpót,"end, conclusion (=2sampót )",end,sañgpót,-,-,sangpot
sañgsáñg,"to discuss something, debate, argue (man -)",discuss something,sañgsáñg,-,-,sangsang
1sapá,may it be so',may it be so',1sapá,-,-,1sapa
2sapá,person found bargaining,person found bargaining,2sapá,-,-,2sapa
sapák,"well adjusted, opportune",well adjusted,sapák,-,-,sapak
sapál,"to sleep embracing a pillow, rolled-up blanket, etc. (man -)",sleep embracing a pillow,sapál,-,-,sapal
sapáñg,tree used in dyeing and staining; dye,tree used in dyeing and staining,sapáñg,-,-,sapang
sapár,hand of bananas; cut a bunch of bananas,hand bananas,sapár,-,-,sapar
sapát,"place something on top of table, roof, etc. (on -); to mount a horse",place something on top table,sapát,-,-,sapat
sapatsapát,to mount or climb (-en ),mount or climb (-en ),sapatsapát,-,-,sapatsapat
sapatá,"promise, pledge",promise,sapatá,-,-,sapata
sapátos,shoes,shoes,sapátos,-,-,sapatos
sapí,kind of paper kite,kind paper kite,sapí,-,-,sapi
sápin,saddle cloth,saddle cloth,sáp,suffix,patient/theme focus (completed),sapin
sapín,shoes,shoes,sapín,-,-,sapin
sápit,"to drain, filter, sift",drain,sápit,-,-,sapit
sapnót,"not slippery, slightly sticky (of a surface)",not slippery,sapnót,-,-,sapnot
sápo,to free someone from danger or responsibility,free someone from danger or responsibility,sápo,-,-,sapo
sapók,atom; fine dust carried by the wind,atom,sapók,-,-,sapok
sapól,to include,include,sapól,-,-,sapol
1sapót,"to complete, add to, make or be sufficient",complete,1sapót,-,-,1sapot
2sapót,spiderweb,spiderweb,2sapót,-,-,2sapot
1sapsáp,kind of edible fish with flat circular body,kind edible fish with flat circular body,1sapsáp,-,-,1sapsap
2sapsáp,"to chip off, rasp; splinter, chip produced by rasping or adzing wood",chip off,2sapsáp,-,-,2sapsap
sára,to fill,fill,sára,-,-,sara
sará,to close (door etc.),close (door etc.),sará,-,-,sara
sarábo,to distribute gifts to relatives etc. after one has returned from a journey,distribute gifts to relatives etc. after one has returned from a journey,sarábo,-,-,sarabo
pasarábo,gift given in such circumstances,gift given in such circumstances,sarábo,prefix,causative/allowative,pasarabo
sarág,within (one’s) means,within  means,sarág,-,-,sarag
masarág,"able to do, having necessary resources",able to do,sarág,prefix,causative / stative,masarag
sárañg,to air clothing,air clothing,sárañg,-,-,sarang
saráñg,to take a walk (on -),take a walk (on -),saráñg,-,-,sarang
sarí,breaking through,breaking through,sarí,-,-,sari
sasá,"‘puss, puss!’ (expression used when calling out a cat)",â€˜puss,sasá,-,-,sasa
sasamék,to mix (man -),mix (man -),samék,reduplication,partial reduplication (plural nouns),sasamek
sátan,that (near speaker) (pl. sarátan those),that   sarÃ¡tan those),sát,suffix,locative/referent focus (non-completed),satan
satsát,to unstitch (man -),unstitch (man -),satsát,-,-,satsat
sawá,"cloyed, tired of; become tired of, boring (on-)",cloyed,sawá,-,-,sawa
makapakasawá,"dull, boring",dull,kapakasawá,prefix,causative / stative,makapakasawa
sawáli,flattened bamboo made into mat-like panels serving as walling for traditional-type houses,flattened bamboo made into mat-like panels serving as walling for traditional-type houses,sawáli,-,-,sawali
sawsáw,to dip in liquid (general term); dunk,dip in liquid (general term),sawsáw,-,-,sawsaw
sawsawán,sauce,sauce,sawán,reduplication,partial reduplication (plural nouns),sawsawan
say,the (pl. sáray ),sÃ¡ray ),say,-,-,say
sáya,this (pl. saráya these),this  sarÃ¡ya these),sáya,-,-,saya
sayá,gaiety,gaiety,sayá,-,-,saya
masayá,"lively, happy, full of gaiety",lively,sayá,prefix,causative / stative,masaya
sayaksák,"be happy, in good humor",be happy,sayaksák,-,-,sayaksak
masayaksák,"happy, contented, in festive mood",happy,sayaksák,prefix,causative / stative,masayaksak
sáyañg,too bad; it’s a pity,too bad,sáyañg,-,-,sayang
sayáp,earthen pot used in cooking fish or vegetables,earthen pot used in cooking fish or vegetables,sayáp,-,-,sayap
sayár,"to scrape bottom, run aground, drag; to become tired from heavy work, etc.",scrape bottom,sayár,-,-,sayar
sayáw,to dance (on -),dance (on -),sayáw,-,-,sayaw
sayorsór,kind of small fishing net,kind small fishing net,sayorsór,-,-,sayorsor
saysáy,"crack, fissure",crack,saysáy,-,-,saysay
sebég,to quarrel,quarrel,sebég,-,-,sebeg
sebél,"to prohibit (i -), impede (-an ); prohibited",prohibit (i -),sebél,-,-,sebel
sébo,"rendered or dry fat, tallow",rendered or dry fat,sébo,-,-,sebo
sedsér,compact; to compress,compact,sedsér,-,-,sedser
segáñg,be acute,be acute,segáñg,-,-,segang
masegáñg,"acute, severe",acute,segáñg,prefix,causative / stative,masegang
segép,"to ascend, climb, go upstairs (on -)",ascend,segép,-,-,segep
sEgúndo,"second (congressional district, etc.)",second (congressional district,sEgúndo,-,-,segundo
sEgúro,"be sure, surely",be sure,sEgúro,-,-,seguro
sEgurádo,"certainly, surely",certainly,sEgurádo,-,-,segurado
sEis,six,six,sEis,-,-,seis
secá,to dig (man -),dig (man -),secá,-,-,seca
sékder,pillar,pillar,sékder,-,-,sekder
sEcrEtário,secretary,secretary,sEcrEtário,-,-,secretario
seksék,"filled, packed tight, stuffed; to stuff fish etc. (man -)",filled,seksék,-,-,seksek
sElEbrár,to celebrate (man -),celebrate (man -),sElEbrár,-,-,selebrar
selék,(of the sun) to set (on -),sun) to set,selék,-,-,selek
sélnak,"to come out, sprout (on -)",come out,sélnak,-,-,selnak
seloñgét,to get dark (man -),get dark (man -),seloñgét,-,-,selonget
cEmEnto,"cement, concrete",cement,cEm,suffix,3sg genitive enclitic,cemento
sempét,"to go home, arrive (on -)",go home,sempét,-,-,sempet
sEnádo,senate,senate,sEnádo,-,-,senado
sEnadór,senator,senator,sEnadór,-,-,senador
sÉntimos,centavo,centavo,sÉntimos,-,-,sentimos
señgáw,"exudation, fume, vapor; to evaporate (on-)",exudation,señgáw,-,-,sengaw
señgég,"root, principal part; rooted stem (of plant)",root,señgég,-,-,sengeg
señgegán,cause,cause,señgegán,-,-,sengegan
niseñgég ed,"because of, pertaining to",because of,niseñgég ed,-,-,nisengeg ed
sanseñgég,entire plant or tree,entire plant or tree,sanseñgég,-,-,sansengeg
sepák,to strike with the hand in a quarrel etc.,strike with the hand in a quarrel etc.,sepák,-,-,sepak
sEpíllo,brush,brush,sEpíllo,-,-,sepillo
sepsép,"to absorb, sip, suck",absorb,sepsép,-,-,sepsep
cErvÉza,beer,beer,cErvÉza,-,-,cerveza
serét,to squeeze (as in squeezing a pimple) (man -),squeeze (as in squeezing a pimple) (man -),serét,-,-,seret
sérnak,to shine (man -),shine (man -),sérnak,-,-,sernak
sersér,#ERROR!,#ERROR!,sersér,-,-,serser
pasersér,to firm the soil (man -),firm the soil (man -),sersér,prefix,causative/allowative,paserser
sése,dulling of edge of blade,dulling edge blade,sése,-,-,sese
sEsÉnta,#ERROR!,#ERROR!,sEsÉn,suffix,1du inclusive genitive enclitic,sesenta
sEtÉnta,seventy (money etc.),seventy,sEtÉn,suffix,1du inclusive genitive enclitic,setenta
si,"marker preceding personal nouns when the latter are subjects of a sentence, in apposition, etc.; also functions as a personal article before such nouns",marker preceding personal nouns when latter are subjects a sentence,si,-,-,si
siám,nine,nine,siám,-,-,siam
komasiám,ninth,ninth,komasiám,-,-,komasiam
labinsiám,nineteen,nineteen,labsiám,infix,completed aspect marker,labinsiam
mikasiám,ninth,ninth,kasiám,prefix,reciprocal/distributive,mikasiam
siamáplo,ninety,ninety,siamáplo,-,-,siamaplo
siamirá,nine (individual items),nine,siamirá,-,-,siamira
tigsisiám,nine each,nine each,tigsisiám,-,-,tigsisiam
sián,"to part, be separated (man - (intentionally), on -)",part,sián,-,-,sian
siánsia,"still, even so, in the same state",still,siánsia,-,-,siansia
sibá,"inordinate appetite, gluttony, voracity;",inordinate appetite,sibá,-,-,siba
masibá,voracious,voracious,sibá,prefix,causative / stative,masiba
síbar,"(of fish and other aquatic animals) to eat, devour",fish and other aquatic animals) to eat,síbar,-,-,sibar
sibég,"to go near (on -); to sympathize with, console (i -)",go near (on -),sibég,-,-,sibeg
siblét,selfish,selfish,siblét,-,-,siblet
síbo,#ERROR!,#ERROR!,síbo,-,-,sibo
sibó,"to throw water, earth, grain, etc. (man -)",throw water,sibó,-,-,sibo
sibók,to blow (-an ),blow (-an ),sibók,-,-,sibok
sibóg,cruelty,cruelty,sibóg,-,-,sibog
masibóg,"brave, cruel",brave,sibóg,prefix,causative / stative,masibog
sibúyas,onion,onion,sibúyas,-,-,sibuyas
sibwág,"to scatter (as seed), disperse",scatter (as seed),sibwág,-,-,sibwag
siÉtE,"seven (money, time, etc.)",seven (money,siÉtE,-,-,siete
sigarílyo,cigarette; to smoke (man -),cigarette,sigaríl,suffix,2pl genitive enclitic,sigarilyo
sígi,"expression equivalent to ‘O.K.’, ‘go ahead!’, ‘all right’",expression equivalent to â€˜o.k.â€™,sígi,-,-,sigi
siglát,"speed, promptness; become speedy, prompt, etc. (on -)",speed,siglát,-,-,siglat
masiglát,"speedy, prompt",speedy,siglát,prefix,causative / stative,masiglat
sígpot,"orphaned, having lost both parents",orphaned,sígpot,-,-,sigpot
sigpót,to conclude what one is saying or doing,conclude what one is saying or doing,sigpót,-,-,sigpot
sigsíg,to chop something into small pieces,chop something into small pieces,sigsíg,-,-,sigsig
siím,to watch closely in secret for (man -),watch closely in secret for (man -),siím,-,-,siim
siít,"arrow head, thorn, spine on fish, etc.",arrow head,siít,-,-,siit
síkal,movement within stomach; movement,movement within stomach,síkal,-,-,sikal
sikáñg,"to stretch to the limit, take a very wide stride",stretch to the limit,sikáñg,-,-,sikang
sikáp,cunning; to spy on (man -),cunning,sikáp,-,-,sikap
sikár,walk with protruding abdomen,walk with protruding abdomen,sikár,-,-,sikar
1síkat,"brilliance, glitter, splendor",brilliance,1síkat,-,-,1sikat
2síkat,brush-like instrument for polishing floors etc. made from halved coconut husk,brush-like instrument for polishing floors made from halved coconut husk,2síkat,-,-,2sikat
sikatá,us (inclusive),us,sikatá,-,-,sikata
sikatayó,all of us,all us,sikatayó,-,-,sikatayo
sikató,him/her (pertaining to someone),him/her,sikató,-,-,sikato
sikayó,you and the others (pertaining to a group including the person spoken to),you and others,sikayó,-,-,sikayo
sikén,old,old,sikén,-,-,siken
masikén,grown up; old man,grown up,sikén,prefix,causative / stative,masiken
síki,difference of opinion,difference opinion,síki,-,-,siki
síkil,to elbow; to spur a horse,elbow,síkil,-,-,sikil
sikmát,sudden disappearance; to disappear,sudden disappearance,sikmát,-,-,sikmat
sikó,elbow,elbow,sikó,-,-,siko
síkot,stealth,stealth,síkot,-,-,sikot
siksík,"scales of fish, snakes, etc.; to scale a",scales fish,siksík,-,-,siksik
sikwát,to lasso an animal; snatch,lasso an animal,sikwát,-,-,sikwat
siláb,"to burn leaves, papers, etc. (man -)",burn leaves,siláb,-,-,silab
silág,buri palm,buri palm,silág,-,-,silag
siléw,artificial light; to light the way etc. (man -),artificial light,siléw,-,-,silew
síli,chili pepper,chili pepper,síli,-,-,sili
sílib,"wisdom, wiles",wisdom,sílib,-,-,silib
masílib,"wise, astute",wise,sílib,prefix,causative / stative,masilib
silíp,to peep (man -),peep (man -),silíp,-,-,silip
silír,"storeroom, storage",storeroom,silír,-,-,silir
síloñg,"under, underneath, space under house, ground floor; to put under (i -)",under,síloñg,-,-,silong
1silót,creased,creased,1silót,-,-,1silot
2silót,lasso,lasso,2silót,-,-,2silot
símba,"Sunday, week",sunday,símba,-,-,simba
simbaán,church,church,simbaán,-,-,simbaan
simbálo,to amend (on -),amend (on -),simbálo,-,-,simbalo
